ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
20019;103;Netz Mitte;K1;1;0;9;0;0;9;0;0;4,5;1;A;2;100
20020;103;Netz Mitte;K1;1;0;6;0;0;6;0;0;3;1;A;9;70
20020;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;0;A;9;43
20021;103;Netz Mitte;K1;1;0;0;8;0;8;0;0;4;1;A;3;91
20021;130;Netz West;K1;1;0;0;2;0;2;0;0;1;0;A;3;65
20028;104;Netz Ost;K10;1;0;449;855;138;1442;0;0;721;0;A;31;668
20028;104;Netz Ost;K1;1;0;0;2;12;14;0;0;7;0;A;1;149
20032;130;Netz West;K1;1;0;1;1;0;2;0;0;1;1;A;2;51
20043;104;Netz Ost;K5;1;0;0;34;0;34;0;0;17;1;A;4;311
20043;103/131;Netz Mitte;K5;1;0;0;6;0;6;0;0;3;0;A;4;271
20048;104;Netz Ost;K1;1;0;5;0;0;5;0;0;2,5;1;A;4;138
20050;104;Netz Ost;K1;1;0;0;0;0;0;0;0;0;1;A;3;102
20074;104;Netz Ost;K10;1;4;4;0;0;8;8;0;4;1;A;25;436
20074;104;Netz Ost;K10;1;2;20;35;5;62;4;0;31;0;A;6;441
20075;103/131;Netz Mitte;K5;1;0;0;83;0;83;0;0;41,5;1;A;3;529
20087;104;Netz Ost;K1;1;1;0;0;0;1;0;0;0,5;1;B;3;131
20114;103;Netz Mitte;K1;1;0;1;0;0;1;0;0;0,5;1;A;1;132
20116;104;Netz Ost;K1;1;1;0;0;0;1;0;0;0,5;1;A;7;93
20127;104;Netz Ost;K1;1;0;0;4;0;4;0;0;2;1;A;2;161
20140;103/131;Netz  Mitte;K1;1;0;0;0;0;0;0;0;0;0;A;2;47
